1	79438	41911014	5
1	42239993	77237493	7
1	77375609	90395003	6
1	90629517	90629517	9
1	90714671	93417065	13
1	93647357	94169432	5
1	94184601	120295512	6
1	120418801	129714883	10
1	129874726	132035835	11
1	132090042	132792077	9
1	132887525	134285070	10
1	134501041	137613371	6
1	137666967	147005364	5
1	147165187	168188001	5
1	170037122	204368935	5
1	204757557	206001741	2
1	206046664	252501169	5
1	252711451	263837302	10
2	10009	53650506	3
2	54401943	57061634	5
2	57287269	64721883	3
2	66244772	73704768	2
2	75017732	80899636	4
2	81087164	81594900	8
2	82170635	83129038	9
2	86240660	96212697	2
2	96223168	119698450	4
2	120099837	142444492	11
2	142741899	144878056	10
2	144901346	146640454	11
2	146867999	191504911	2
2	191532203	199546379	8
3	15942	6101379	1
3	6182716	28765295	9
3	29620538	37998329	1
3	38006117	66417728	10
3	69556699	121169436	6
3	121410076	123150448	7
3	123232169	126343374	1
3	127543928	176283291	6
3	176384277	202336721	9
4	149	21492586	8
4	21525609	49141528	1
4	49200935	68577654	8
4	69088805	74225408	1
4	74248037	74298052	10
4	74337579	74534822	10
4	76123915	79267075	11
4	79425460	80457274	13
4	80510652	82204275	5
4	82222452	83037516	1
4	83182666	85655483	1
4	85947317	115844588	1
4	115863530	115863530	3
4	115902973	133896756	2
4	133934732	156456386	2
5	75650	20255601	12
5	21410549	27758817	4
5	27941160	41521218	12
5	42396807	49445530	3
5	50022854	99428747	12
5	99645724	145031748	13
5	145400541	150177874	3
6	27285	18696457	1
6	18861345	37468212	8
6	38076270	57755518	8
6	58196235	60699881	3
6	60809611	80596962	4
6	80711854	80711854	6
LGa	8427	6800626	9
LGb	4014	3261791	3
LGc	368660	9437545	7
LGf	33570	1089173	8
LGf	1225098	4247599	9
LGg	41249	296946	3
LGh	43599	190227	2
